,label,PCA_feature_2,PCA_feature_150
50,0.0,2.686272932720585,-1.1058862159352145e-16
51,1.0,-2.3294036788167016,5.0306980803327406e-17
51,1.0,-2.329403678816701,7.806255641895632e-17
51,0.0,1.852352475012905,3.365363543395006e-16
52,0.0,2.750652685765736,2.463307335887066e-16
53,1.0,2.8305446353357153,-3.469446951953614e-16
53,1.0,2.8305446353357153,-3.469446951953614e-16
53,0.0,4.8395650327211515,3.89011739487799e-16
54,1.0,-1.367942657756898,-9.974659986866641e-18
54,0.0,0.05025355877830036,-6.938893903907228e-17
54,1.0,-1.3679426577568983,-4.163336342344337e-17
55,1.0,-1.4251880112619286,-3.0140820395097023e-17
55,0.0,1.2067560679883753,4.5102810375396984e-17
55,1.0,-1.4251880112619286,-3.0140820395097023e-17
56,1.0,-0.5333068259179556,-2.740863092043355e-16
56,1.0,-0.5333068259179556,-2.740863092043355e-16
56,1.0,-0.5333068259179556,-2.740863092043355e-16
56,1.0,-0.5333068259179556,-2.740863092043355e-16
56,0.0,0.9432962640416885,-1.3530843112619095e-16
57,1.0,-1.1362373084454664,-1.2533377113932431e-16
58,0.0,-2.5742343303710973,3.7470027081099033e-16
59,1.0,-0.03877152474212875,-1.1449174941446927e-16
61,0.0,-2.63859981981986,1.8388068845354155e-16
62,0.0,0.1238788268694864,1.43982048506075e-16
62,1.0,-1.0776424832372444,-1.938553484404082e-16
63,0.0,3.492042531374873,-1.1622647289044608e-16
65,0.0,3.5238927747165305,-6.158268339717665e-17
67,0.0,-0.81373061828108,1.7694179454963432e-16
68,0.0,0.8115247970217432,-3.642919299551295e-17
74,0.0,0.12875942704358306,3.2612801348363973e-16
76,0.0,4.636161005813523,-3.9898639947466563e-17
77,0.0,5.3626615663765245,-1.6393136847980827e-16
78,0.0,2.0631694550488464,-8.370040771588094e-17
79,0.0,5.3783592816751185,-2.0816681711721685e-16
80,0.0,0.568335698364512,1.0234868508263162e-16
81,0.0,0.19964313122282656,-1.7564075194265172e-17
82,0.0,2.6748481561200017,4.163336342344337e-17
83,0.0,-0.5465851591364761,2.5500435096859064e-16
85,0.0,-1.8026959435018952,-3.2959746043559335e-17
87,0.0,6.3155233797790284,9.020562075079397e-17
88,0.0,1.3970700754305896,-1.1102230246251565e-16
91,0.0,4.552557059534963,-2.0816681711721685e-17
92,0.0,-1.0466926119436069,7.28583859910259e-17
93,0.0,-1.5746845561635032,5.48172618408671e-16
95,0.0,2.504080331209111,1.2663481374630692e-16
96,0.0,-0.768419052170008,-2.3678975447083417e-16
97,0.0,-1.3912166019187195,2.1684043449710089e-16
98,0.0,-3.610441544406949,-9.020562075079397e-17
99,0.0,4.238926173017748,-1.6046192152785466e-16
100,0.0,-0.04903897460306157,9.84455572616838e-17
101,0.0,0.5639018827523223,2.3592239273284576e-16
102,0.0,4.660011804984351,1.3877787807814457e-16
103,0.0,2.52113668864295,-1.1102230246251565e-16
104,0.0,-0.4592300087024288,8.673617379884035e-18
105,0.0,1.3647682416264995,-1.3183898417423734e-16
107,0.0,0.9152348611389073,1.1622647289044608e-16
108,0.0,-1.580252990062066,6.288372600415926e-17
109,0.0,0.48749692559010926,-4.163336342344337e-17
111,0.0,0.02907869202672214,4.206704429243757e-16
112,0.0,1.39460656164491,6.591949208711867e-17
113,0.0,1.0249114329378968,-8.153200337090993e-17
114,0.0,-2.179575223250424,2.8406096919120216e-17
116,0.0,0.29963890267071147,-1.739060284666749e-16
117,0.0,-0.6166753026628167,-2.636779683484747e-16
118,0.0,2.04316282467521,-1.1102230246251565e-16
119,0.0,1.6339835905298654,1.2750217548429532e-16
