,label,PCA_feature_2,PCA_feature_3,PCA_feature_11,PCA_feature_129,PCA_feature_131,PCA_feature_132,PCA_feature_133,PCA_feature_139,PCA_feature_140
19,1.0,-7.71423430150381,8.509448401353094,1.5845591776949228,1.1657341758564144e-15,-3.885780586188048e-16,5.828670879282072e-16,-8.049116928532385e-16,4.0852737859253807e-16,1.1102230246251565e-16
19,0.0,2.990818144798749,-19.380880548218407,-2.437499281026412,2.3869795029440866e-15,2.7408630920433552e-15,-3.2751579226442118e-15,-1.6653345369377348e-15,-1.609823385706477e-15,-1.7208456881689926e-15
20,0.0,-5.71923971922376,-10.968484579875305,4.1579628540479066,1.1379786002407855e-15,-1.7486012637846216e-15,-5.828670879282072e-16,-1.078998002057574e-15,-4.3021142204224816e-16,-3.608224830031759e-16
20,1.0,-0.04897337537004587,6.730154175306302,0.0440126005318342,1.582067810090848e-15,1.9081958235744878e-16,4.996003610813204e-16,-1.8735013540549517e-15,4.440892098500626e-16,-1.8041124150158794e-16
21,0.0,1.2399200241950936,-20.907911013696282,-0.3511805499915278,-8.187894806610529e-16,-2.96637714392034e-16,1.3877787807814457e-15,-1.700029006457271e-15,-1.3877787807814457e-15,-2.609024107869118e-15
21,1.0,46.031297909758855,-5.350835435246644,-1.810976367003154,-1.0824674490095276e-15,-2.220446049250313e-16,8.520961713998076e-15,-5.051514762044462e-15,-1.2576745200831851e-15,-1.27675647831893e-15
22,0.0,38.01165672686497,19.938035020869883,4.614869061314683,-4.9404924595819466e-15,4.773959005888173e-15,-7.216449660063518e-16,6.63358257213531e-15,6.106226635438361e-16,1.6375789613221059e-15
22,1.0,-6.029531469874373,6.403486560666575,3.4564043110009326,1.429412144204889e-15,-2.3071822230491534e-16,9.43689570931383e-16,-8.951173136040325e-16,5.655198531684391e-16,5.551115123125783e-16
23,1.0,-5.789512539093109,19.07110791414616,2.5847306821381775,6.800116025829084e-16,-1.3183898417423734e-15,4.996003610813204e-16,-5.2909066017292616e-17,0.0,8.049116928532385e-16
23,0.0,-6.412686278306365,-2.109202742620304,-1.5852425302795496,1.2628786905111156e-15,1.3877787807814457e-16,-7.216449660063518e-16,-1.536964999715451e-15,1.1102230246251565e-16,-1.1102230246251565e-16
24,0.0,19.766385231032828,-16.090905342686384,-4.6388509850662745,5.967448757360216e-16,6.192962809237201e-16,4.996003610813204e-16,-4.884981308350689e-15,1.6653345369377348e-16,-4.822531263215524e-16
24,1.0,-9.229177869916798,11.166337991513627,4.254536770901417,1.2212453270876722e-15,-2.220446049250313e-16,1.2490009027033011e-15,5.551115123125783e-16,9.71445146547012e-16,5.273559366969494e-16
25,0.0,-6.555158949841152,-15.633493051881077,-1.5319742762364406,-3.122502256758253e-16,3.95516952522712e-16,-4.718447854656915e-16,-2.3245294578089215e-15,-1.7763568394002505e-15,-1.6653345369377348e-15
27,0.0,4.735305343573543,-10.430777800481074,-1.3793308231929418,7.632783294297951e-16,1.4779844015322396e-15,8.326672684688674e-17,-3.354955202539145e-15,6.245004513516506e-16,9.71445146547012e-17
27,1.0,-14.85475363056799,-8.225663490204155,2.7579638267055606,-2.7755575615628914e-17,3.191891195797325e-16,-1.3877787807814457e-16,2.498001805406602e-16,-9.020562075079397e-16,-1.2559397966072083e-15
28,0.0,1.5924868623033965,-7.342084794874495,2.048158567830864,-6.661338147750939e-16,6.522560269672795e-16,-1.0547118733938987e-15,-3.3861802251067274e-15,-1.9984014443252818e-15,-8.118505867571457e-16
